Station Name,Measurement Timestamp,Air Temperature,wind
63rd Street Weather Station,04/25/2015 09:00:00 AM,7.00,6.7
63rd Street Weather Station,04/30/2015 05:00:00 AM,6.10,0.9
63rd Street Weather Station,06/22/2015 09:00:00 AM,25.40,1.3
63rd Street Weather Station,06/22/2015 10:00:00 AM,26.40,4
63rd Street Weather Station,06/22/2015 11:00:00 AM,25.90,1.8
63rd Street Weather Station,06/22/2015 12:00:00 PM,26.00,5.4
63rd Street Weather Station,06/22/2015 01:00:00 PM,24.70,3.1
63rd Street Weather Station,06/22/2015 02:00:00 PM,26.20,2.2
63rd Street Weather Station,06/22/2015 03:00:00 PM,27.60,5.4
63rd Street Weather Station,06/22/2015 04:00:00 PM,27.70,4
63rd Street Weather Station,06/22/2015 05:00:00 PM,28.60,7.2
63rd Street Weather Station,06/22/2015 06:00:00 PM,28.80,4
63rd Street Weather Station,06/22/2015 07:00:00 PM,29.20,6.7
63rd Street Weather Station,06/22/2015 08:00:00 PM,29.10,2.2
63rd Street Weather Station,06/22/2015 09:00:00 PM,28.80,4.5
63rd Street Weather Station,06/22/2015 10:00:00 PM,28.90,5.4
63rd Street Weather Station,06/22/2015 11:00:00 PM,26.20,5.4
63rd Street Weather Station,06/23/2015 01:00:00 AM,24.80,4.9
63rd Street Weather Station,06/23/2015 02:00:00 AM,25.00,4
63rd Street Weather Station,06/23/2015 03:00:00 AM,24.70,4.5
63rd Street Weather Station,06/23/2015 04:00:00 AM,24.80,2.7
63rd Street Weather Station,06/23/2015 05:00:00 AM,21.40,2.7
63rd Street Weather Station,06/23/2015 06:00:00 AM,19.90,4.5
63rd Street Weather Station,06/23/2015 07:00:00 AM,20.70,5.8
63rd Street Weather Station,06/23/2015 08:00:00 AM,19.90,5.8
63rd Street Weather Station,06/23/2015 09:00:00 AM,20.30,5.4
63rd Street Weather Station,06/23/2015 10:00:00 AM,18.50,5.8
63rd Street Weather Station,06/23/2015 11:00:00 AM,18.50,1.3
63rd Street Weather Station,06/23/2015 12:00:00 PM,18.70,2.7
63rd Street Weather Station,06/23/2015 01:00:00 PM,18.70,3.6
63rd Street Weather Station,06/23/2015 02:00:00 PM,19.60,3.6
63rd Street Weather Station,06/23/2015 03:00:00 PM,19.60,7.6
63rd Street Weather Station,06/23/2015 04:00:00 PM,19.20,1.8
63rd Street Weather Station,06/23/2015 05:00:00 PM,19.20,3.6
63rd Street Weather Station,06/23/2015 06:00:00 PM,19.20,2.7
63rd Street Weather Station,06/23/2015 07:00:00 PM,18.60,4.5
63rd Street Weather Station,06/23/2015 08:00:00 PM,18.00,4.5
63rd Street Weather Station,06/23/2015 09:00:00 PM,17.70,5.4
63rd Street Weather Station,06/23/2015 10:00:00 PM,18.20,4
63rd Street Weather Station,06/23/2015 11:00:00 PM,18.30,2.7
63rd Street Weather Station,06/23/2015 12:00:00 AM,24.50,3.1
63rd Street Weather Station,06/24/2015 01:00:00 AM,17.50,6.7
63rd Street Weather Station,06/24/2015 02:00:00 AM,17.70,5.4
63rd Street Weather Station,06/24/2015 03:00:00 AM,18.00,2.7
63rd Street Weather Station,06/24/2015 04:00:00 AM,18.20,4.9
63rd Street Weather Station,06/24/2015 05:00:00 AM,19.00,4
63rd Street Weather Station,06/24/2015 06:00:00 AM,19.20,3.6
63rd Street Weather Station,06/24/2015 07:00:00 AM,19.80,3.1
63rd Street Weather Station,06/24/2015 08:00:00 AM,20.30,1.8
63rd Street Weather Station,06/24/2015 09:00:00 AM,21.00,5.8
63rd Street Weather Station,06/24/2015 10:00:00 AM,20.50,1.3
63rd Street Weather Station,06/24/2015 11:00:00 AM,20.40,2.2
63rd Street Weather Station,06/24/2015 12:00:00 PM,20.80,4.9
63rd Street Weather Station,06/24/2015 01:00:00 PM,24.70,4.9
63rd Street Weather Station,06/24/2015 02:00:00 PM,24.80,3.6
63rd Street Weather Station,06/24/2015 03:00:00 PM,25.10,2.2
63rd Street Weather Station,06/24/2015 04:00:00 PM,25.30,4.9
63rd Street Weather Station,06/24/2015 05:00:00 PM,24.00,2.7
63rd Street Weather Station,06/24/2015 06:00:00 PM,24.10,5.4
63rd Street Weather Station,06/24/2015 07:00:00 PM,24.60,0.9
63rd Street Weather Station,06/24/2015 08:00:00 PM,23.90,5.8
63rd Street Weather Station,06/24/2015 09:00:00 PM,22.50,6.3
63rd Street Weather Station,06/24/2015 10:00:00 PM,23.10,4.9
63rd Street Weather Station,06/24/2015 11:00:00 PM,22.50,2.7
63rd Street Weather Station,06/24/2015 12:00:00 AM,17.80,3.1
63rd Street Weather Station,06/25/2015 01:00:00 AM,21.70,4.5
63rd Street Weather Station,06/25/2015 02:00:00 AM,21.50,4.5
63rd Street Weather Station,06/25/2015 03:00:00 AM,21.00,5.4
63rd Street Weather Station,06/25/2015 04:00:00 AM,19.50,6.3
63rd Street Weather Station,06/25/2015 05:00:00 AM,19.10,4.5
63rd Street Weather Station,06/25/2015 06:00:00 AM,19.90,7.6
63rd Street Weather Station,06/25/2015 07:00:00 AM,20.20,3.6
63rd Street Weather Station,06/25/2015 08:00:00 AM,20.60,6.3
63rd Street Weather Station,06/25/2015 09:00:00 AM,21.70,4.5
63rd Street Weather Station,06/25/2015 10:00:00 AM,23.50,1.3
63rd Street Weather Station,06/25/2015 11:00:00 AM,25.90,3.1
63rd Street Weather Station,06/25/2015 01:00:00 PM,22.80,3.1
63rd Street Weather Station,06/25/2015 02:00:00 PM,18.80,3.1
63rd Street Weather Station,06/25/2015 03:00:00 PM,19.80,2.7
63rd Street Weather Station,06/25/2015 04:00:00 PM,19.60,6.7
63rd Street Weather Station,06/25/2015 05:00:00 PM,20.10,6.3
63rd Street Weather Station,06/25/2015 06:00:00 PM,18.60,2.2
63rd Street Weather Station,06/25/2015 07:00:00 PM,17.30,4.5
63rd Street Weather Station,06/25/2015 08:00:00 PM,17.40,0.9
63rd Street Weather Station,06/25/2015 09:00:00 PM,17.30,3.6
63rd Street Weather Station,06/25/2015 10:00:00 PM,16.80,0.9
63rd Street Weather Station,06/25/2015 11:00:00 PM,17.50,2.2
63rd Street Weather Station,06/25/2015 12:00:00 AM,21.80,2.2
63rd Street Weather Station,06/26/2015 01:00:00 AM,17.20,3.6
63rd Street Weather Station,06/26/2015 02:00:00 AM,16.60,4.9
63rd Street Weather Station,06/26/2015 03:00:00 AM,16.50,5.8
63rd Street Weather Station,06/26/2015 04:00:00 AM,16.20,5.4
63rd Street Weather Station,06/26/2015 05:00:00 AM,15.50,6.3
63rd Street Weather Station,06/26/2015 06:00:00 AM,15.80,4.9
63rd Street Weather Station,06/26/2015 07:00:00 AM,16.20,2.7
63rd Street Weather Station,06/26/2015 08:00:00 AM,16.00,1.3
63rd Street Weather Station,06/26/2015 09:00:00 AM,16.80,1.8
63rd Street Weather Station,06/26/2015 10:00:00 AM,17.20,5.4
63rd Street Weather Station,06/26/2015 11:00:00 AM,17.50,4.5
63rd Street Weather Station,06/26/2015 12:00:00 PM,17.40,5.4
63rd Street Weather Station,06/26/2015 01:00:00 PM,17.30,5.4
63rd Street Weather Station,06/26/2015 02:00:00 PM,17.30,5.4
63rd Street Weather Station,06/26/2015 03:00:00 PM,17.10,4
63rd Street Weather Station,06/26/2015 04:00:00 PM,17.00,4.5
63rd Street Weather Station,06/26/2015 05:00:00 PM,16.70,3.1
63rd Street Weather Station,06/26/2015 06:00:00 PM,16.20,6.3
63rd Street Weather Station,06/26/2015 07:00:00 PM,16.40,3.1
63rd Street Weather Station,06/26/2015 08:00:00 PM,16.20,3.1
63rd Street Weather Station,06/26/2015 09:00:00 PM,16.40,3.1
63rd Street Weather Station,06/26/2015 10:00:00 PM,17.30,5.4
63rd Street Weather Station,06/26/2015 11:00:00 PM,16.60,5.8
63rd Street Weather Station,06/26/2015 12:00:00 AM,17.60,4.5
63rd Street Weather Station,06/27/2015 01:00:00 AM,16.50,3.6
63rd Street Weather Station,06/27/2015 02:00:00 AM,16.30,2.7
63rd Street Weather Station,06/27/2015 03:00:00 AM,16.90,7.6
63rd Street Weather Station,06/27/2015 04:00:00 AM,16.60,6.3
63rd Street Weather Station,06/27/2015 05:00:00 AM,16.60,6.3
63rd Street Weather Station,06/27/2015 06:00:00 AM,16.20,4.9
63rd Street Weather Station,06/27/2015 07:00:00 AM,16.10,4
63rd Street Weather Station,06/27/2015 08:00:00 AM,15.70,3.1
63rd Street Weather Station,06/27/2015 09:00:00 AM,15.80,2.2
63rd Street Weather Station,06/27/2015 10:00:00 AM,16.00,5.4
63rd Street Weather Station,06/27/2015 11:00:00 AM,16.40,5.4
63rd Street Weather Station,06/27/2015 12:00:00 PM,16.60,3.1
63rd Street Weather Station,06/27/2015 01:00:00 PM,17.00,5.4
63rd Street Weather Station,06/27/2015 02:00:00 PM,17.80,5.4
63rd Street Weather Station,06/27/2015 03:00:00 PM,18.10,2.2
63rd Street Weather Station,06/27/2015 04:00:00 PM,18.10,3.1
63rd Street Weather Station,06/27/2015 05:00:00 PM,18.90,3.6
63rd Street Weather Station,06/27/2015 06:00:00 PM,19.20,0.9
63rd Street Weather Station,06/27/2015 07:00:00 PM,17.90,2.7
63rd Street Weather Station,06/27/2015 08:00:00 PM,17.60,3.1
63rd Street Weather Station,06/27/2015 09:00:00 PM,18.20,4.9
63rd Street Weather Station,06/27/2015 10:00:00 PM,17.90,3.1
63rd Street Weather Station,06/27/2015 11:00:00 PM,18.40,2.7
63rd Street Weather Station,06/27/2015 12:00:00 AM,16.50,5.8
63rd Street Weather Station,06/28/2015 02:00:00 AM,16.40,1.3
63rd Street Weather Station,06/28/2015 03:00:00 AM,16.00,3.1
63rd Street Weather Station,06/28/2015 04:00:00 AM,15.60,2.7
63rd Street Weather Station,06/28/2015 05:00:00 AM,15.00,2.2
63rd Street Weather Station,06/28/2015 06:00:00 AM,15.50,1.8
63rd Street Weather Station,06/28/2015 07:00:00 AM,18.60,4.5
63rd Street Weather Station,06/28/2015 08:00:00 AM,19.90,8.9
63rd Street Weather Station,06/28/2015 09:00:00 AM,20.30,5.4
63rd Street Weather Station,06/28/2015 10:00:00 AM,18.90,5.4
63rd Street Weather Station,06/28/2015 11:00:00 AM,19.70,4
63rd Street Weather Station,06/28/2015 12:00:00 PM,20.50,5.4
63rd Street Weather Station,06/28/2015 01:00:00 PM,20.70,3.6
63rd Street Weather Station,06/28/2015 02:00:00 PM,21.10,6.7
63rd Street Weather Station,06/28/2015 03:00:00 PM,20.80,4.5
63rd Street Weather Station,06/28/2015 04:00:00 PM,20.90,5.4
63rd Street Weather Station,06/28/2015 05:00:00 PM,22.70,2.2
63rd Street Weather Station,06/28/2015 06:00:00 PM,22.90,1.8
63rd Street Weather Station,06/28/2015 07:00:00 PM,22.70,4.9
63rd Street Weather Station,06/28/2015 08:00:00 PM,22.80,2.7
63rd Street Weather Station,06/28/2015 09:00:00 PM,20.60,1.3
63rd Street Weather Station,06/28/2015 10:00:00 PM,20.30,2.2
63rd Street Weather Station,06/28/2015 11:00:00 PM,21.00,3.6
63rd Street Weather Station,06/28/2015 12:00:00 AM,18.20,4
63rd Street Weather Station,06/29/2015 01:00:00 AM,20.40,5.8
63rd Street Weather Station,06/29/2015 02:00:00 AM,20.10,3.1
63rd Street Weather Station,06/29/2015 03:00:00 AM,19.70,4
63rd Street Weather Station,06/29/2015 04:00:00 AM,19.50,8.5
63rd Street Weather Station,06/29/2015 05:00:00 AM,18.80,1.8
63rd Street Weather Station,06/29/2015 06:00:00 AM,18.80,2.2
63rd Street Weather Station,06/29/2015 07:00:00 AM,18.40,4.5
63rd Street Weather Station,06/29/2015 08:00:00 AM,18.50,0.9
63rd Street Weather Station,06/29/2015 09:00:00 AM,18.40,4.5
63rd Street Weather Station,06/29/2015 10:00:00 AM,18.80,9.4
63rd Street Weather Station,06/29/2015 11:00:00 AM,18.50,2.2
63rd Street Weather Station,06/29/2015 12:00:00 PM,18.50,1.8
63rd Street Weather Station,06/29/2015 01:00:00 PM,18.60,4
63rd Street Weather Station,06/29/2015 02:00:00 PM,19.40,5.4
63rd Street Weather Station,06/29/2015 03:00:00 PM,19.20,2.2
63rd Street Weather Station,06/29/2015 04:00:00 PM,19.20,1.8
63rd Street Weather Station,06/29/2015 05:00:00 PM,19.80,4.9
63rd Street Weather Station,06/29/2015 06:00:00 PM,18.90,5.8
63rd Street Weather Station,06/29/2015 07:00:00 PM,19.90,2.7
63rd Street Weather Station,06/29/2015 08:00:00 PM,19.20,2.2
63rd Street Weather Station,06/29/2015 09:00:00 PM,19.00,5.4
63rd Street Weather Station,06/29/2015 10:00:00 PM,19.80,6.7
63rd Street Weather Station,06/29/2015 11:00:00 PM,19.10,4
63rd Street Weather Station,06/29/2015 12:00:00 AM,20.80,2.2
63rd Street Weather Station,06/30/2015 01:00:00 AM,19.30,4.5
63rd Street Weather Station,06/30/2015 02:00:00 AM,19.30,4.9
63rd Street Weather Station,06/30/2015 03:00:00 AM,19.30,3.1
63rd Street Weather Station,06/30/2015 04:00:00 AM,19.00,5.8
63rd Street Weather Station,06/30/2015 05:00:00 AM,19.10,2.2
63rd Street Weather Station,06/30/2015 06:00:00 AM,18.80,0.9
63rd Street Weather Station,06/30/2015 07:00:00 AM,19.20,4
63rd Street Weather Station,06/30/2015 08:00:00 AM,20.00,4
63rd Street Weather Station,06/30/2015 09:00:00 AM,21.20,2.7
63rd Street Weather Station,06/30/2015 10:00:00 AM,22.30,4.5
63rd Street Weather Station,06/30/2015 11:00:00 AM,23.50,4
63rd Street Weather Station,06/30/2015 12:00:00 PM,22.40,4.5
63rd Street Weather Station,06/30/2015 01:00:00 PM,20.30,5.4
63rd Street Weather Station,06/30/2015 02:00:00 PM,18.90,5.8
63rd Street Weather Station,06/30/2015 03:00:00 PM,19.20,0.9
63rd Street Weather Station,06/30/2015 04:00:00 PM,19.40,6.3
63rd Street Weather Station,06/30/2015 05:00:00 PM,19.20,3.6
63rd Street Weather Station,06/30/2015 06:00:00 PM,16.20,2.2
63rd Street Weather Station,06/30/2015 07:00:00 PM,15.60,3.6
63rd Street Weather Station,06/30/2015 08:00:00 PM,15.80,2.2
63rd Street Weather Station,06/30/2015 09:00:00 PM,15.50,2.7
63rd Street Weather Station,06/30/2015 10:00:00 PM,15.80,4
63rd Street Weather Station,06/30/2015 11:00:00 PM,15.80,1.8
63rd Street Weather Station,06/30/2015 12:00:00 AM,19.60,7.2
63rd Street Weather Station,07/01/2015 01:00:00 AM,15.80,2.2
63rd Street Weather Station,07/01/2015 02:00:00 AM,15.60,6.3
63rd Street Weather Station,07/01/2015 03:00:00 AM,15.10,4.9
63rd Street Weather Station,07/01/2015 04:00:00 AM,14.90,3.1
63rd Street Weather Station,07/01/2015 05:00:00 AM,14.60,5.8
63rd Street Weather Station,07/01/2015 06:00:00 AM,14.40,4.9
63rd Street Weather Station,07/01/2015 07:00:00 AM,14.60,5.8
63rd Street Weather Station,07/01/2015 08:00:00 AM,14.50,4.9
63rd Street Weather Station,07/01/2015 09:00:00 AM,14.70,4.9
63rd Street Weather Station,07/01/2015 10:00:00 AM,15.10,1.3
63rd Street Weather Station,07/01/2015 11:00:00 AM,14.90,6.3
63rd Street Weather Station,07/01/2015 12:00:00 PM,15.00,1.3
63rd Street Weather Station,07/01/2015 01:00:00 PM,15.10,3.1
63rd Street Weather Station,07/01/2015 02:00:00 PM,14.80,3.1
63rd Street Weather Station,07/01/2015 03:00:00 PM,14.70,3.6
63rd Street Weather Station,07/01/2015 04:00:00 PM,14.70,5.8
63rd Street Weather Station,07/01/2015 05:00:00 PM,14.60,3.6
63rd Street Weather Station,07/01/2015 06:00:00 PM,14.70,4.5
63rd Street Weather Station,07/01/2015 07:00:00 PM,14.40,4.9
63rd Street Weather Station,07/01/2015 08:00:00 PM,14.30,4
63rd Street Weather Station,07/01/2015 12:00:00 AM,15.80,4.5
63rd Street Weather Station,07/02/2015 02:00:00 PM,16.10,3.1
63rd Street Weather Station,07/02/2015 03:00:00 PM,16.10,4
63rd Street Weather Station,07/02/2015 04:00:00 PM,16.40,4.5
63rd Street Weather Station,07/02/2015 05:00:00 PM,16.80,3.1
63rd Street Weather Station,07/02/2015 06:00:00 PM,16.00,2.7
63rd Street Weather Station,07/02/2015 07:00:00 PM,16.00,3.1
63rd Street Weather Station,07/02/2015 08:00:00 PM,15.80,3.1
63rd Street Weather Station,07/02/2015 09:00:00 PM,15.60,5.8
63rd Street Weather Station,07/02/2015 10:00:00 PM,16.10,1.8
63rd Street Weather Station,07/02/2015 11:00:00 PM,16.60,2.2
63rd Street Weather Station,07/03/2015 01:00:00 AM,17.00,4
63rd Street Weather Station,07/03/2015 02:00:00 AM,17.00,1.8
63rd Street Weather Station,07/03/2015 03:00:00 AM,17.20,2.7
63rd Street Weather Station,07/03/2015 04:00:00 AM,17.30,3.1
63rd Street Weather Station,07/03/2015 05:00:00 AM,17.30,4
63rd Street Weather Station,07/03/2015 06:00:00 AM,17.20,7.6
63rd Street Weather Station,07/03/2015 07:00:00 AM,17.20,7.6
63rd Street Weather Station,07/03/2015 08:00:00 AM,17.60,6.3
63rd Street Weather Station,07/03/2015 09:00:00 AM,17.80,5.4
63rd Street Weather Station,07/03/2015 10:00:00 AM,17.80,2.2
